total_length_cm,body_depth_cm,body_width_cm,head_length_cm,eye_diameter_mm,weight_gr,species
11.4,2.5,1.3,3.2,4.0,10.5,Mezgit
14.6,2.4,1.1,3.3,3.7,17.4,Hamsi
23.8,5.7,2.4,5.9,6.5,144.9,Tekir
11.4,2.5,1.0,2.7,3.7,12.8,İstavrit
9.6,1.8,0.8,2.2,2.7,5.9,Sardalya
15.3,3.0,1.4,3.9,4.7,33.9,İstavrit
41.4,1.8,1.1,12.2,8.6,104.6,Zargana
15.1,3.3,1.6,3.8,4.6,29.2,Sardalya
6.8,1.0,0.5,1.5,2.0,1.5,Hamsi
14.4,2.3,1.1,3.0,3.3,20.1,Hamsi
25.6,5.7,2.8,5.6,5.3,261.0,Palamut
20.1,4.8,2.0,5.0,5.4,63.8,Lüfer
9.4,3.2,1.0,2.5,3.0,9.1,İzmarit
8.6,1.2,0.5,1.7,1.7,3.9,Hamsi
15.9,3.6,1.5,3.6,4.2,30.2,Sardalya
23.9,5.3,2.5,6.3,5.7,113.9,Tekir
12.5,1.9,0.8,2.7,3.0,12.5,Hamsi
16.6,2.5,1.2,3.7,4.4,29.1,Hamsi
9.9,1.7,0.8,2.0,2.5,7.3,Sardalya
8.4,1.0,0.4,1.9,2.1,3.4,Hamsi
16.4,3.8,1.7,4.1,5.2,31.2,İstavrit
21.4,4.5,2.1,5.2,7.3,82.1,İstavrit
15.2,3.3,1.5,3.4,4.2,26.6,Sardalya
18.2,4.0,2.0,4.0,5.0,44.2,Sardalya
10.3,2.9,1.1,2.8,2.6,11.5,İzmarit
24.0,4.6,1.7,6.4,8.1,104.1,Mezgit
18.0,5.4,1.8,4.7,5.3,64.4,İzmarit
7.9,1.7,0.8,1.9,2.3,3.9,İstavrit
8.3,1.5,0.6,2.0,2.5,4.9,İstavrit
19.9,4.9,2.2,4.8,4.5,74.4,Tekir
9.8,1.8,0.7,2.2,2.9,6.7,Sardalya
22.1,7.4,2.4,5.9,6.9,114.0,İzmarit
11.3,2.4,1.1,2.5,3.3,11.1,İstavrit
27.1,6.6,3.4,6.4,5.9,249.3,Palamut
15.1,3.0,1.4,3.2,3.9,24.9,Sardalya
21.7,4.6,2.0,4.9,5.9,89.6,İstavrit
15.4,3.6,1.5,3.7,4.7,30.6,İstavrit
17.1,3.3,1.4,3.8,4.4,39.2,Sardalya
7.1,1.4,0.6,1.6,1.8,2.1,Sardalya
12.4,2.5,1.1,2.9,3.7,14.1,İstavrit
18.3,3.5,1.5,3.8,4.5,53.2,Sardalya
19.5,4.7,2.4,5.1,5.5,71.2,Tekir
19.7,3.6,1.7,4.4,5.8,56.2,Sardalya
17.5,3.9,1.8,4.2,4.9,47.0,İstavrit
11.5,2.4,1.1,2.8,3.3,11.0,İstavrit
9.2,1.8,0.8,2.2,2.9,5.6,Sardalya
10.8,3.3,1.3,3.2,3.5,14.5,İzmarit
8.7,1.7,0.8,2.0,2.5,5.2,İstavrit
18.4,3.6,1.7,4.0,4.9,43.0,Sardalya
10.1,2.2,1.0,2.3,3.0,7.1,Sardalya
12.5,2.5,1.2,3.2,3.8,14.0,İstavrit
13.6,1.9,0.9,2.9,3.8,13.6,Hamsi
21.3,4.3,2.0,4.9,6.1,72.1,Sardalya
21.3,4.6,2.1,5.0,5.9,87.3,İstavrit
15.5,2.2,0.9,3.4,3.9,25.9,Hamsi
18.2,3.6,1.8,4.4,5.1,50.2,İstavrit
17.4,3.9,1.7,4.3,5.6,44.4,İstavrit
56.6,2.7,1.5,17.4,12.9,277.5,Zargana
6.1,0.8,0.4,1.4,1.5,1.3,Hamsi
7.3,2.2,0.8,2.1,2.3,4.3,İzmarit
7.8,1.1,0.5,1.7,1.7,3.0,Hamsi
8.6,1.2,0.6,1.9,2.2,4.0,Hamsi
35.7,8.5,3.9,8.6,8.3,351.0,Lüfer
11.7,2.5,1.2,2.8,3.7,13.8,İstavrit
8.5,1.1,0.5,1.8,2.2,3.5,Hamsi
27.7,23.0,2.3,6.7,4.9,453.7,Kalkan
8.4,1.1,0.5,1.8,1.9,3.0,Hamsi
12.1,2.5,1.1,3.0,4.1,15.3,İstavrit
26.4,4.6,1.9,6.9,8.6,129.3,Mezgit
13.2,2.0,0.8,2.9,3.7,12.9,Hamsi
20.8,6.2,2.3,5.1,6.5,87.5,İzmarit
43.0,2.5,1.4,12.9,9.9,125.4,Zargana
17.3,5.3,1.9,4.8,5.6,52.5,İzmarit
20.9,4.6,2.0,5.2,6.8,77.6,İstavrit
14.6,2.2,1.0,2.7,3.3,16.3,Hamsi
9.1,1.3,0.6,2.1,2.2,4.4,Hamsi
8.1,1.3,0.6,1.8,1.9,2.8,Hamsi
10.8,2.4,1.0,2.8,3.8,10.3,İstavrit
15.4,2.5,1.1,3.3,3.9,23.2,Hamsi
13.0,2.0,0.9,2.8,3.4,12.9,Hamsi
14.6,2.0,0.9,3.0,3.8,16.0,Hamsi
17.0,3.3,1.8,3.7,3.9,36.5,Sardalya
8.4,1.1,0.5,1.8,1.8,3.4,Hamsi
19.4,3.9,1.7,4.5,5.5,58.3,İstavrit
14.3,2.9,1.3,3.3,3.9,24.2,Sardalya
15.0,2.0,0.9,3.1,3.9,22.2,Hamsi
19.5,6.3,2.2,5.0,5.3,70.0,İzmarit
14.0,2.0,0.9,3.1,4.1,16.0,Hamsi
14.5,2.3,1.0,3.1,3.3,20.1,Hamsi
20.6,4.4,1.9,5.2,6.0,53.0,Mezgit
11.2,1.6,0.7,2.3,2.8,9.2,Hamsi
11.1,1.5,0.7,2.2,2.7,8.3,Hamsi
16.6,2.2,1.0,3.5,4.5,28.5,Hamsi
18.2,3.7,1.7,4.3,5.6,47.4,Sardalya
12.7,2.9,1.2,3.0,3.6,18.8,İstavrit
12.9,2.5,1.2,2.9,3.8,16.5,Sardalya
9.6,1.7,0.8,2.4,3.2,6.1,Sardalya
14.1,2.0,1.0,3.0,3.8,16.9,Hamsi
66.0,14.6,8.6,14.5,13.5,3521.2,Palamut
19.3,3.6,1.6,4.8,6.6,53.6,Mezgit
14.6,2.9,1.3,3.4,4.2,26.2,Sardalya
27.7,5.0,1.9,7.6,9.8,161.9,Mezgit
19.0,4.0,1.7,3.9,4.9,54.6,Sardalya
5.3,0.8,0.4,1.2,1.4,0.9,Hamsi
11.3,2.9,1.1,2.9,2.8,15.5,Tekir
8.4,1.2,0.5,1.7,2.1,3.4,Hamsi
50.0,10.7,5.4,11.1,9.6,1640.4,Palamut
14.9,3.6,1.6,3.5,3.9,30.1,Tekir
15.5,3.6,1.6,4.0,5.2,33.4,İstavrit
13.0,2.7,1.3,3.2,4.6,18.9,İstavrit
10.1,2.1,1.0,2.4,3.0,8.2,Sardalya
13.6,2.0,1.0,3.1,3.9,14.6,Hamsi
21.6,5.0,1.9,5.3,6.9,79.7,İstavrit
14.8,3.3,1.5,3.7,3.7,30.8,Tekir
17.8,4.1,1.9,4.3,6.0,41.5,İstavrit
15.7,3.2,1.3,3.3,3.7,31.8,Sardalya
13.0,2.0,0.8,3.0,3.4,14.7,Hamsi
6.2,1.0,0.5,1.4,1.5,1.3,Hamsi
9.8,1.9,0.9,2.6,2.9,6.5,Mezgit
47.1,10.9,5.9,11.8,9.6,1332.9,Palamut
19.0,4.0,2.0,4.3,5.5,58.5,İstavrit
17.2,3.4,1.5,4.2,5.5,43.2,İstavrit
12.5,2.0,0.9,2.7,2.6,12.7,Hamsi
13.9,2.2,0.9,3.1,3.3,16.2,Hamsi
19.8,5.9,2.0,5.3,5.1,84.0,İzmarit
5.9,0.8,0.4,1.2,1.5,1.1,Hamsi
6.2,0.8,0.3,1.3,1.5,1.3,Hamsi
16.0,4.9,1.7,3.9,4.4,45.3,İzmarit
15.9,3.3,1.5,3.8,5.3,34.9,İstavrit
33.2,7.5,3.3,8.1,8.1,299.0,Lüfer
21.8,5.4,2.4,5.0,5.3,81.7,Lüfer
12.7,2.5,0.9,3.2,3.8,13.3,Mezgit
7.6,1.0,0.4,1.7,2.1,2.4,Hamsi
15.5,3.3,1.5,3.6,4.6,28.4,Sardalya
17.8,3.9,1.8,4.5,4.6,53.2,Tekir
10.2,2.1,1.0,2.4,2.5,7.9,Sardalya
16.2,2.9,1.4,3.9,5.6,34.2,Sardalya
11.4,1.9,0.8,3.1,3.7,11.5,Mezgit
9.9,1.9,0.8,2.1,2.7,6.5,Sardalya
15.1,2.1,1.0,2.8,3.7,20.7,Hamsi
15.0,2.1,1.0,3.1,3.7,20.6,Hamsi
20.5,4.3,2.0,5.0,6.9,62.9,İstavrit
11.5,1.6,0.7,2.5,2.8,8.1,Hamsi
43.2,10.1,5.2,9.8,9.2,1108.5,Palamut
10.7,2.1,0.8,2.6,3.3,8.6,Sardalya
16.1,4.7,1.7,4.0,4.5,42.5,İzmarit
53.4,42.2,4.1,14.1,9.4,3222.3,Kalkan
18.7,3.7,1.6,4.5,5.9,55.8,İstavrit
19.8,4.2,1.9,4.9,6.0,58.2,İstavrit
17.6,3.3,1.6,4.1,5.1,44.7,Sardalya
15.0,3.5,1.7,3.6,4.2,35.2,Tekir
34.5,8.0,3.9,8.5,9.1,331.2,Lüfer
44.6,10.9,5.7,10.1,8.5,1053.1,Palamut
46.7,9.9,5.0,10.4,9.4,1308.6,Palamut
7.4,1.1,0.5,1.5,1.7,2.3,Hamsi
29.4,5.8,2.4,7.7,10.0,185.4,Mezgit
15.9,3.5,1.7,3.4,4.0,32.5,Sardalya
14.8,1.9,0.9,3.0,3.3,15.6,Hamsi
9.8,2.1,0.9,2.3,2.9,5.7,Sardalya
20.7,4.3,1.8,4.9,6.2,69.4,İstavrit
15.2,2.0,1.0,3.4,3.9,22.3,Hamsi
16.4,3.3,1.4,3.9,4.9,34.3,Sardalya
29.8,5.2,2.2,7.9,8.8,173.2,Mezgit
11.1,1.7,0.7,2.3,2.6,7.1,Hamsi
14.2,1.9,0.9,2.8,3.4,18.6,Hamsi
14.6,2.0,0.9,3.0,3.6,18.5,Hamsi
8.5,1.1,0.5,1.8,2.2,3.3,Hamsi
7.4,1.5,0.7,1.8,2.3,2.7,Sardalya
12.7,1.8,0.8,2.7,3.0,11.2,Hamsi
19.9,4.0,1.7,4.8,6.1,63.3,İstavrit
17.5,3.6,1.5,4.8,5.7,40.5,Mezgit
32.2,7.0,2.8,8.1,7.4,296.4,Lüfer
15.0,3.2,1.4,3.6,4.6,30.8,İstavrit
23.4,4.3,1.8,6.4,7.7,90.7,Mezgit
10.5,2.1,1.0,2.4,2.9,8.0,Sardalya
10.6,1.7,0.7,2.3,2.5,7.1,Hamsi
18.6,3.8,1.5,4.1,5.5,59.7,Sardalya
11.6,1.4,0.7,2.5,2.7,8.3,Hamsi
9.7,2.1,1.0,2.4,2.9,7.5,İstavrit
28.8,21.8,2.3,7.6,4.9,510.6,Kalkan
17.6,3.6,1.6,4.6,5.2,47.4,İstavrit
12.3,2.6,1.1,2.9,4.1,14.5,İstavrit
19.8,4.2,1.6,4.7,5.6,65.5,Sardalya
16.4,3.5,1.5,4.5,5.8,34.0,İstavrit
33.8,7.5,3.4,7.9,7.5,345.3,Lüfer
8.1,1.0,0.6,1.8,2.0,3.2,Hamsi
12.5,1.8,0.9,2.7,2.9,14.3,Hamsi
9.7,2.2,1.0,2.2,2.8,6.9,Sardalya
12.3,1.9,0.8,2.7,3.1,10.4,Hamsi
13.9,2.0,0.9,2.9,2.9,17.3,Hamsi
15.1,3.1,1.5,3.4,4.0,29.9,Sardalya
16.7,3.5,1.5,3.8,4.6,37.9,Sardalya
11.3,2.6,1.1,2.6,3.0,10.7,İstavrit
17.6,3.6,1.6,3.7,4.4,42.5,Sardalya
21.2,4.6,2.1,5.1,5.7,80.5,İstavrit
10.7,2.3,1.1,2.8,4.3,10.9,İstavrit
21.6,5.0,2.1,5.4,5.1,72.9,Lüfer
7.9,1.2,0.6,1.6,1.9,2.9,Hamsi
14.5,2.2,1.0,3.1,3.7,18.6,Hamsi
13.3,1.9,0.8,2.9,3.3,14.2,Hamsi
13.0,2.0,0.9,2.8,3.5,13.2,Hamsi
5.9,0.9,0.4,1.3,1.6,1.1,Hamsi
23.3,1.1,0.8,6.5,4.7,17.0,Zargana
12.8,2.8,1.3,3.1,3.7,15.6,İstavrit
14.4,2.8,1.2,3.3,3.7,24.7,Sardalya
15.3,2.1,0.9,3.0,3.6,26.0,Hamsi
62.6,15.3,9.0,13.8,13.0,3093.2,Palamut
8.4,1.8,0.8,2.0,2.3,5.2,İstavrit
18.9,3.7,1.6,4.8,5.5,54.0,İstavrit
14.3,2.0,0.9,3.4,3.8,19.4,Hamsi
22.3,3.8,1.5,5.7,7.4,76.8,Mezgit
60.6,46.9,4.7,15.7,10.3,5152.9,Kalkan
14.3,2.7,1.4,3.1,3.7,23.9,Sardalya
54.8,12.6,7.0,12.3,11.8,2108.3,Palamut
20.8,5.6,1.7,5.4,5.4,94.3,İzmarit
14.9,2.1,0.9,3.2,3.8,23.8,Hamsi
11.2,1.5,0.7,2.3,2.5,7.3,Hamsi
13.2,3.2,1.5,3.4,3.6,20.5,Lüfer
19.1,4.1,1.7,4.5,5.3,64.6,İstavrit
13.0,1.6,0.7,3.0,3.6,12.9,Hamsi
13.4,2.7,1.2,2.7,3.5,18.3,Sardalya
19.0,3.6,1.6,4.9,6.3,58.8,İstavrit
12.7,1.8,0.9,2.7,2.9,15.5,Hamsi
21.2,4.6,2.0,5.4,6.6,77.7,İstavrit
13.2,1.9,0.9,2.6,3.3,15.7,Hamsi
21.7,4.9,2.1,5.7,5.5,112.6,Tekir
17.6,3.3,1.6,4.4,5.3,48.2,İstavrit
32.8,27.5,2.2,9.0,5.1,687.3,Kalkan
8.2,1.2,0.5,1.8,2.2,3.2,Hamsi
16.4,3.0,1.3,3.4,4.5,36.6,Sardalya
44.3,10.0,5.5,10.1,8.9,1302.6,Palamut
12.4,2.6,1.2,3.0,3.8,14.8,İstavrit
65.9,14.2,7.0,14.2,13.8,3810.3,Palamut
58.5,2.3,1.3,18.6,13.1,341.7,Zargana
17.6,5.4,1.8,4.9,6.0,55.0,İzmarit
45.7,11.0,5.5,10.0,9.6,1266.0,Palamut
21.2,4.6,2.1,5.4,6.9,75.7,İstavrit
18.3,3.6,1.6,4.3,6.1,46.9,Sardalya
14.7,2.3,0.9,3.2,3.5,19.8,Hamsi
9.1,1.8,0.9,2.1,2.7,6.7,İstavrit
13.6,2.0,0.9,3.1,3.8,16.4,Hamsi
18.3,3.7,1.8,4.6,5.3,50.6,İstavrit
19.7,4.3,2.1,4.7,5.8,71.0,İstavrit
39.2,1.8,1.1,12.5,8.3,82.3,Zargana
17.0,3.9,1.7,4.2,4.4,36.1,Lüfer
12.5,2.7,1.2,3.2,4.0,15.5,İstavrit
13.5,1.9,0.8,3.1,3.6,12.9,Hamsi
19.7,5.9,2.1,4.9,5.5,76.8,İzmarit
17.9,3.7,1.6,3.7,4.6,45.3,Sardalya
14.8,3.1,1.3,3.3,4.0,24.3,Sardalya
8.0,1.5,0.6,2.0,2.2,4.2,Mezgit
6.7,1.4,0.6,1.6,1.8,1.9,Sardalya
11.8,1.6,0.7,2.4,2.9,9.6,Hamsi
49.4,2.3,1.3,14.0,10.8,192.6,Zargana
29.7,5.0,2.1,7.8,9.3,187.1,Mezgit
13.6,2.6,1.2,3.3,4.5,17.5,Sardalya
15.6,3.3,1.3,4.1,4.9,26.2,İstavrit
18.4,4.0,1.8,4.5,5.0,70.5,Tekir
12.3,2.6,1.2,3.2,4.2,17.7,İstavrit
9.6,2.0,1.0,2.2,2.3,4.8,Sardalya
12.3,2.4,1.2,3.1,4.0,14.9,İstavrit
10.6,2.1,0.9,2.6,3.6,9.0,İstavrit
16.9,3.5,1.5,4.5,5.8,37.3,İstavrit
8.3,1.3,0.6,1.8,2.0,3.9,Hamsi
5.4,0.8,0.4,1.2,1.3,0.9,Hamsi
18.3,3.9,1.8,4.6,6.8,47.5,İstavrit
10.2,2.0,0.8,2.6,2.9,7.2,Sardalya
7.4,1.5,0.6,1.8,2.1,2.9,Sardalya
18.4,3.8,1.7,4.2,5.0,51.8,İstavrit
9.9,2.0,0.9,2.2,2.4,6.1,Sardalya
21.0,4.2,2.0,5.2,6.3,70.4,İstavrit
15.0,2.1,0.9,3.1,3.8,20.0,Hamsi
10.5,2.2,1.0,2.1,2.4,9.1,Sardalya
72.7,60.8,5.8,20.8,13.2,9475.8,Kalkan
13.4,1.9,1.0,2.8,3.6,13.7,Hamsi
8.0,1.6,0.7,1.9,2.3,3.7,Sardalya
12.6,1.9,0.9,2.6,2.8,11.5,Hamsi
26.4,6.4,3.1,5.8,4.8,257.8,Palamut
12.4,1.5,0.7,2.9,3.4,10.5,Hamsi
15.6,3.3,1.4,3.6,4.2,29.4,Sardalya
25.4,5.3,2.3,6.3,6.6,124.9,Lüfer
17.0,2.1,0.9,3.6,4.1,32.2,Hamsi
11.5,1.5,0.7,2.5,2.8,8.2,Hamsi
7.1,2.0,0.7,1.7,2.0,3.6,İzmarit
8.4,2.1,0.7,2.4,3.1,5.6,İzmarit
10.3,2.1,0.9,2.4,3.3,8.0,Sardalya
15.2,2.2,1.1,3.3,4.0,21.5,Hamsi
11.4,2.4,1.1,2.9,3.5,11.6,İstavrit
10.6,1.9,0.8,2.7,3.4,9.4,Mezgit
12.3,2.7,1.3,2.8,3.6,15.0,İstavrit
11.7,2.7,1.1,2.9,3.6,12.8,İstavrit
11.7,2.5,1.1,2.7,3.5,13.5,İstavrit
27.6,6.5,3.6,6.1,5.5,296.9,Palamut
18.1,3.6,1.5,4.6,6.2,44.3,İstavrit
19.0,3.9,1.5,5.0,6.0,58.1,İstavrit
16.7,3.4,1.7,4.0,5.0,40.8,Sardalya
21.0,3.7,1.5,5.4,6.0,62.8,Mezgit
12.2,1.7,0.7,2.8,3.3,11.7,Hamsi
12.2,2.2,0.9,3.1,3.4,13.5,Mezgit
24.9,6.0,3.1,5.8,5.3,229.4,Palamut
29.4,5.0,2.2,7.4,8.6,165.5,Mezgit
12.4,1.9,0.9,2.7,3.7,10.5,Hamsi
10.0,2.0,0.8,2.1,2.9,6.2,Sardalya
14.8,1.9,0.8,2.9,3.3,22.1,Hamsi
9.3,2.2,1.1,2.4,2.7,8.2,Tekir
28.8,7.1,3.8,6.4,6.0,339.3,Palamut
13.9,2.0,0.8,2.9,3.6,17.1,Hamsi
20.9,4.7,2.3,4.8,4.5,99.4,Tekir
34.7,7.8,3.5,8.5,8.8,277.1,Lüfer
9.3,2.0,0.9,2.0,2.6,5.6,Sardalya
13.3,4.2,1.5,3.3,4.1,25.9,İzmarit
29.0,6.6,2.7,7.1,7.2,192.9,Lüfer
34.3,7.7,3.5,9.2,9.5,345.5,Lüfer
9.8,2.0,1.0,2.2,2.7,6.7,Sardalya
14.3,2.2,1.0,2.9,3.0,18.7,Hamsi
25.0,4.7,2.0,7.0,8.9,110.4,Mezgit
11.7,2.6,1.2,3.0,3.6,13.8,İstavrit
8.6,1.1,0.5,1.8,2.2,3.7,Hamsi
13.1,1.7,0.8,2.9,3.8,12.4,Hamsi
14.9,1.9,0.9,3.2,3.7,20.7,Hamsi
9.0,2.1,0.9,2.2,2.9,6.1,İstavrit
20.8,4.7,2.1,5.4,7.0,77.1,İstavrit
16.2,3.7,1.6,4.0,4.2,46.3,Tekir
51.4,2.6,1.4,15.7,11.3,226.7,Zargana
22.8,3.8,1.6,6.2,7.1,72.7,Mezgit
19.5,3.7,1.8,4.6,5.2,51.3,Sardalya
13.0,1.8,0.9,2.9,3.9,12.7,Hamsi
17.7,3.8,1.7,3.7,4.7,37.9,Sardalya
23.8,4.3,1.9,6.7,7.1,101.8,Mezgit
18.9,4.0,1.6,4.3,6.2,50.0,İstavrit
12.7,2.6,1.2,3.0,3.7,18.3,İstavrit
51.3,11.7,5.8,10.5,9.7,1836.9,Palamut
12.7,2.5,1.2,3.1,3.9,17.8,İstavrit
7.1,1.1,0.5,1.9,2.4,2.6,Mezgit
14.8,2.0,0.9,3.2,3.4,19.0,Hamsi
20.2,6.3,2.2,5.0,5.6,86.6,İzmarit
16.5,3.0,1.3,3.9,4.8,35.6,Sardalya
13.6,1.8,0.9,2.7,3.4,14.7,Hamsi
16.6,2.2,1.0,3.5,4.0,26.7,Hamsi
12.5,2.0,0.9,2.8,3.4,12.7,Hamsi
19.0,3.3,1.3,4.9,6.2,50.2,Mezgit
10.1,3.2,1.1,2.7,2.9,11.9,İzmarit
16.3,3.6,1.6,3.6,4.8,25.7,Sardalya
11.9,2.7,1.2,2.7,3.5,13.8,İstavrit
17.1,3.5,1.7,4.0,4.4,41.5,Sardalya
15.2,2.5,1.1,3.2,3.3,21.8,Hamsi
8.3,1.1,0.5,1.7,1.9,3.3,Hamsi
48.8,10.4,5.5,11.6,10.2,1272.9,Palamut
10.3,2.2,1.0,2.3,2.7,6.8,Sardalya
